CLCROP,CLPAST,CLIDLE,GL,FL,MISC,URBAN,OTHERS
1579,197,71,222,2420,31,906,381
1427,189,198,215,2462,28,973,178
1480,169,99,212,2474,25,1094,69
1344,149,62,208,2424,23,1208,130
1338,109,80,291,2372,60,1164,167
1208,0,71,464,2386,66,1189,335
1254,15,108,447,2329,34,1309,183
1,0,0,0,0,0,39,0
0,0,0,0,0,0,39,0
0,0,0,0,0,0,39,0
0,0,0,0,0,0,39,0
0,0,0,0,0,0,39,0
0,0,0,0,0,0,39,0
0,0,0,0,0,0,39,0
0,0,0,0,0,0,39,0
0,0,0,0,0,0,40,0
0,0,0,0,0,0,40,0
0,0,0,0,0,0,39,0
0,0,0,0,0,0,39,0
0,0,0,0,0,0,39,0
0,0,0,0,0,0,39,0
0,0,0,0,0,0,39,0
39145,4893,2146,10066,54460,1695,1513,4978
40680,5730,0,6151,54562,1695,1784,6404
37678,5703,2516,6287,54451,1533,1836,7145
36668,4657,4170,8266,53481,1345,2653,5022
34301,4219,6450,8485,53417,1262,2760,4336
31507,5293,7532,6175,52458,1076,2629,8750
36624,4664,2829,5290,52306,948,2826,9717
38040,3886,3221,4715,49833,923,3567,10375
39818,3001,2222,5579,48598,844,3880,10683
32164,2803,7426,5471,46227,739,4081,11820
34688,2639,5192,5278,48331,658,4010,12911
34991,2500,3212,4995,49188,669,4428,13710
36364,1923,3815,5393,49039,1223,4170,11555
36070,1452,3037,7486,50759,1538,4218,8911
36886,426,2977,8414,51918,914,4705,6489
8633,1786,791,2287,18821,527,653,1733
9061,1983,0,1101,18448,527,803,2732
7838,1912,1086,1045,19045,460,819,2807
7388,1398,1684,1763,19201,391,1133,1589
6946,1147,1774,2045,19356,359,1186,1530
5677,1091,1914,1338,19100,304,1248,3503
6567,909,869,1241,19000,238,1355,3910
7030,760,875,1211,18979,231,1482,4009
7642,566,606,1881,18078,201,1566,4123
6403,519,1459,1731,17597,173,1632,4622
7068,517,1038,1736,17442,155,1760,4328
7098,500,706,1606,18667,159,1896,3417
6955,412,693,1561,18616,336,2153,3280
7145,316,553,1697,19019,330,2189,2603
7192,91,483,1982,19262,226,2355,2112
10614,1791,277,3954,15983,534,406,427
10718,2187,0,2432,16914,534,482,590
10053,2255,458,2520,16497,471,524,989
9876,1987,639,3182,15564,416,742,1070
9370,1765,1232,3086,15539,403,770,969
8944,2101,1225,2526,14892,347,693,2489
9538,1762,566,2095,14891,315,740,3341
10098,1479,662,1914,14840,304,869,2863
10404,1229,411,2009,14877,282,931,2800
8251,1162,1177,2079,15058,256,983,3973
8148,1086,1151,1869,15257,229,1053,3955
7803,959,799,1844,15701,230,1113,4359
9047,766,966,2003,15701,416,1051,2785
9069,395,738,2768,16168,397,1063,2224
9301,164,607,2864,16727,311,1234,1422
19898,1316,1078,3825,19656,634,454,2818
20901,1560,0,2618,19200,634,499,3082
19787,1536,972,2722,18909,602,493,3349
19404,1272,1847,3321,18716,538,778,2363
17985,1307,3444,3354,18522,500,804,1837
16886,2101,4393,2311,18466,425,688,2758
20519,1993,1394,1954,18415,395,731,2466
20912,1647,1684,1590,16014,388,1216,3503
21772,1206,1205,1689,15643,361,1383,3760
17510,1122,4790,1661,13572,310,1466,3225
19472,1036,3003,1673,15632,274,1197,4628
20090,1041,1707,1544,14820,280,1419,5934
20362,745,2157,1830,14722,471,966,5489
19857,740,1745,3020,15572,810,966,4084
20394,171,1887,3568,15929,377,1116,2955
77984,11362,2878,26326,28954,2855,2651,7926
81017,14939,0,16563,29455,2855,2950,12902
79354,13716,2198,16830,31033,2734,3253,11401
78814,12822,3454,21806,30270,2523,4354,6100
72003,11228,11519,20335,30407,2414,4534,7419
70718,16886,14365,13948,31115,2184,5053,5657
81913,15116,3435,13693,29128,1948,5462,9101
83352,13997,4412,12010,27789,1835,6311,9456
86471,10937,3013,13160,27841,1677,6729,8934
73546,10390,15700,12843,29119,1505,7365,8494
80733,10095,8780,12325,31270,1340,7626,6508
83445,9894,5227,11579,31322,1326,8290,7399
82922,7255,5551,13078,31304,2272,7987,8050
82698,3677,4642,16390,34264,2418,8102,5394
